"","Date","PB_TN","PB_TP","PB_Nitrate","PB_SRP","PB_DOC","LB_TN","LB_TP","LB_Nitrate","LB_SRP","LB_DOC","Stream_Q","BD_TN","BD_TP","BD_Nitrate","BD_SRP","BD_DOC","BD_Q"
"1","2019-12-08",1.02901314181402,1.00202790678162,1.01607406783386,2.7901371327085,1.21261216155728,1.02549716900943,1.00049858732883,1.02205016665677,1.39778055101172,1.06833288532946,1.02043243517211,NA,NA,NA,NA,NA,NA
"2","2019-12-15",1.30838246103433,1.00893805190865,1.24173764385628,7.10309935695323,1.83276905740997,1.20853481193683,1.00521669104409,1.16969485805454,6.36462318141768,1.69005970599798,1.17534106750742,NA,NA,NA,NA,NA,NA
"3","2020-01-06",10.3590072691795,1.08678859068472,10.6059356376958,67.7266265243387,NA,12.6005794217379,1.09742570643179,12.7523203557337,90.1607837926591,4.76509362037906,2.48665896882018,NA,NA,NA,NA,NA,NA
"4","2020-01-13",46.4320291834536,2.72172723974592,43.9089394414732,841.788713486005,NA,64.3708093951423,3.58237672035176,61.7967344819076,1357.97809058224,NA,9.5983641771359,NA,NA,NA,NA,NA,NA
"5","2020-01-31",8.25226699398821,1.03830867389281,8.34298046006491,35.0634823886972,2.80394423429914,8.56765027075023,1.0392387354291,8.90470290500926,37.0389822376875,2.95654654807685,2.09743823642676,NA,NA,NA,NA,NA,NA
"6","2020-02-16",14.9279868340497,1.04188302236372,15.6699046045572,33.829584122297,3.74602430457251,16.062013702738,1.04818580894282,17.4111935295566,35.857758469081,4.11858885696959,2.95936178973202,NA,NA,NA,NA,NA,NA
"7","2020-03-01",9.77248151730366,1.0175340497047,10.0635982052294,7.79404995544609,2.93708554979686,NA,NA,10.7104862324098,7.94146660718386,3.14711144517172,2.2982734599015,NA,NA,NA,NA,NA,NA
"8","2020-03-08",8.35120558843402,1.02853850251908,9.04033466081631,21.1356325348358,2.68196734552138,9.31969442242447,1.02842494255877,9.72850848603692,22.2674597723684,2.79061511235603,2.22110978727288,NA,NA,NA,NA,NA,NA
"9","2020-05-22",27.7316463221803,1.15561898515088,28.2384654815262,116.963519359208,7.66051803970925,48.1837581867645,1.43705333857514,48.1120758343365,231.457470218176,12.7727524124944,5.97264928603394,NA,NA,NA,NA,NA,NA
"10","2020-06-01",9.01771212950136,1.0248161075338,9.56047547860448,18.6850542628354,3.00841372863308,14.0571838305212,1.04564285356145,14.4587721680995,34.7017007221986,4.21114581287483,2.83056557209703,NA,NA,NA,NA,NA,NA
"11","2020-06-08",3.12744223623726,1.02114111160306,3.24092281318987,12.7857239506836,1.89362448126339,3.9834295704109,1.02263857634728,4.0687039431141,16.1309361140991,2.259488805794,1.62274693148,NA,NA,NA,NA,NA,NA
"12","2020-06-15",1.83442659362444,1.00769216445709,1.83281273667625,6.10290151526922,1.41883838213884,2.23522452512612,1.00898108437822,2.26237819138263,7.30667185915191,1.66167799379981,1.31495527175846,NA,NA,NA,NA,NA,NA
